                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.572,                 5.2402,                 3.5026,                 2.0608,                0.04779,                0.72671,                0.10713,                0.07744,                0.04739,                 0.7205,                0.10468,                0.07008,                 0.8946,                 2.5513,                 2.9712,                0.95134,             0.00043342,             0.00043342,             0.00043342
                      2,                 1.1258,                 2.4632,                 2.4261,                 1.1474,                0.88677,                0.43781,                0.63837,                0.42484,                0.86223,                0.42857,                0.63042,                0.41623,                 1.1385,                  2.625,                 1.8006,                 1.0968,             0.00079604,             0.00079604,             0.00079604
                      3,                 1.1076,                 1.6699,                 1.4707,                 1.1037,                0.73266,                0.93622,                0.89069,                0.52869,                0.73738,                0.87578,                0.87021,                 0.4278,                 1.4505,                 2.7995,                 1.6091,                 1.6468,              0.0010695,              0.0010695,              0.0010695
                      4,                  1.491,                 1.9253,                 1.7967,                 1.4197,                0.73266,                0.93622,                0.89069,                0.52869,                0.73738,                0.87578,                0.87021,                 0.4278,                 1.4505,                 2.7995,                 1.6091,                 1.6468,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.1392,                 1.5428,                 1.3925,                 1.1355,                0.71557,                0.78131,                0.79365,                 0.5023,                0.71557,                0.78131,                0.79365,                0.56826,                 1.2482,                 1.9605,                 1.4724,                 1.1859,              0.0010069,              0.0010069,              0.0010069
                      6,                0.96898,                  1.383,                 1.2295,                 1.0547,                0.75674,                0.85093,                0.86732,                0.60102,                0.75674,                0.85093,                0.86478,                0.60187,                0.92982,                 1.9755,                 1.3095,                 1.0104,             0.00084184,             0.00084184,             0.00084184
                      7,                0.91808,                 1.3267,                 1.2107,                 1.0414,                0.93177,                0.93303,                0.97979,                0.75925,                0.92557,                0.92682,                0.96911,                0.65628,                0.81096,                 1.8735,                0.88854,                 0.9445,              0.0006768,              0.0006768,              0.0006768
                      8,                0.78497,                 1.4279,                 1.0712,                0.97456,                0.90199,                0.97174,                0.96968,                0.79352,                0.90199,                0.97174,                0.96968,                0.70923,                0.72409,                 1.6413,                0.79556,                0.90471,             0.00051177,             0.00051177,             0.00051177
                      9,                 0.7606,                 1.1861,                 1.0093,                0.94903,                0.95665,                0.95957,                0.98891,                0.82818,                0.95665,                0.95957,                0.98842,                0.72589,                0.64821,                 1.6048,                0.72594,                0.87288,             0.00034674,             0.00034674,             0.00034674
                     10,                0.71281,                 1.3265,                0.91189,                0.93074,                0.95665,                0.95957,                0.98891,                0.82818,                0.95665,                0.95957,                0.98842,                0.72589,                0.64821,                 1.6048,                0.72594,                0.87288,              0.0001817,              0.0001817,              0.0001817
